Host;IP 
CLHV01;10.34.72.248
CLHVSRV01;10.34.72.246
CLHVSRV02;10.34.72.247
CLHVSRV03;10.34.72.232
srHost;IP 
CLHV01;10.34.72.248
CLHVSRV01;10.34.72.246
CLHVSRV02;10.34.72.247
CLHVSRV03;10.34.72.232
srvsysconfmang;10.34.72.183
vmav;10.34.72.179
vmw-rpa;10.34.72.228
workflow;10.34.72.195
HyperVReplica;10.34.72.174
SRVAD;10.34.72.227
SRVINTERGARD;10.34.72.234
SRVDPM;10.34.72.233
